gene_label	gene_name	AGI	ERCnet_ID	HOG_ID	Duplicated	in_orthofinder	in_filtered_dataset	in_network 	dropped_reason notes 
Alpha1_AT2G05840	Alpha1	AT2G05840	ARAT_AT2G05840.1_PACid_19639196	HOG0004937	Yes	Yes		No	dropped due to P filter	ANAG had 6 paralogues 
Alpha1_AT5G35590	Alpha1	AT5G35590	ARAT_AT5G35590.1_PACid_19666663	HOG0004937	Yes	Yes		No	dropped due to P filter	ANAG had 6 paralogues 
Alpha2_AT1G16470	Alpha2	AT1G16470	ARAT_AT1G16470.1_PACid_19651668	HOG0006806	Yes	Yes		Yes		
Alpha2_AT1G79210	Alpha2	AT1G79210	ARAT_AT1G79210.1_PACid_19650105	HOG0006806	Yes	Yes		Yes		
Alpha3_AT3G22110	Alpha3	AT3G22110	ARAT_AT3G22110.1_PACid_19663555	HOG0004888	Yes	Yes		No		
Alpha3_AT4G15165	Alpha3	AT4G15165	ARAT_AT4G15165.1_PACid_19648727	HOG0004888	Yes	Yes		Yes		
Alpha4_AT3G51260	Alpha4	AT3G51260	ARAT_AT3G51260.1_PACid_19664689	HOG0005523	Yes	Yes		Yes		
Alpha4_AT5G66140	Alpha4	AT5G66140	ARAT_AT5G66140.1_PACid_19672619	HOG0005523	Yes	Yes		Yes		
Alpha5_AT1G53850	Alpha5	AT1G53850	ARAT_AT1G53850.1_PACid_19652641	HOG0006091	Yes	Yes		No		
Alpha5_AT3G14290	Alpha5	AT3G14290	ARAT_AT3G14290.1_PACid_19658710	HOG0006091	Yes	Yes		No		
Alpha_B26_AT1G47250	Alpha_B26	AT1G47250	ARAT_AT1G47250.1_PACid_19658242	HOG0006577	Yes	Yes		Yes		
Alpha6_AT5G42790	Alpha6	AT5G42790	ARAT_AT5G42790.1_PACid_19670251	HOG0006577	Yes	Yes		Yes		
Alpha7_AT2G27020	Alpha7	AT2G27020	ARAT_AT2G27020.1_PACid_19640509	HOG0007247	No	Yes		Yes		
Beta1_AT4G31300	Beta1	AT4G31300	ARAT_AT4G31300.2_PACid_19646330	HOG0005774	No	Yes		No		
Beta2_AT3G27430	Beta2	AT3G27430	ARAT_AT3G27430.2_PACid_19660822	HOG0005113	Yes	Yes		No		
Beta2_AT5G40580	Beta2	AT5G40580	ARAT_AT5G40580.1_PACid_19671607	HOG0005113	Yes	Yes		No		
Beta3_AT1G21720	Beta3	AT1G21720	ARAT_AT1G21720.1_PACid_19649188	HOG0005253	Yes	Yes		Yes		
Beta3_AT1G77440	Beta3	AT1G77440	ARAT_AT1G77440.1_PACid_19656196	HOG0005253	Yes	Yes		Yes		
Beta4_AT3G22630	Beta4	AT3G22630	ARAT_AT3G22630.1_PACid_19662898	HOG0006604	Yes	Yes		Yes		
Beta4_AT4G14800	Beta4	AT4G14800	ARAT_AT4G14800.2_PACid_19644251	HOG0006604	Yes	Yes		Yes		
Beta5_AT1G13060	Beta5	AT1G13060	ARAT_AT1G13060.2_PACid_19652499	HOG0004928	Yes	Yes		No		
Beta5_AT3G26340	Beta5	AT3G26340	ARAT_AT3G26340.1_PACid_19658790	HOG0004928	Yes	Yes		No		
Beta6_AT3G60820	Beta6	AT3G60820	ARAT_AT3G60820.1_PACid_19663843	HOG0005804	No	Yes		No		
